endTime,artistName,trackName,msPlayed
2019-12-06 17:31,"Tyler, The Creator",EARFQUAKE,190066
2019-12-06 17:34,TOKiMONSTA,Gamble,6956
2019-12-06 17:34,William Bolton,Dream at Night (feat. Dillon Ashton),205614
2019-12-06 17:36,Young Franco,Talkin’ Bout It,63660
2019-12-06 17:36,Anderson .Paak,Make It Better (feat. Smokey Robinson),871
2019-12-06 17:39,Golden Vessel,Shoulders,200386
2019-12-06 17:42,Anderson .Paak,Jet Black (feat. Brandy),208379
2019-12-06 17:43,Client Liaison,Where Do We Belong,33729
2019-12-06 17:43,"Tyler, The Creator",IGOR'S THEME,677
2019-12-06 17:45,Berhana,Grey Luh,149832
2019-12-08 23:18,"Tyler, The Creator",NEW MAGIC WAND,1007
2019-12-10 01:23,Marius,Lucky,199946
2019-12-10 01:23,Tennis,I Miss That Feeling,4163
2019-12-10 01:25,Tennis,Needle And A Knife,3041
2019-12-10 01:25,Noname,Song 32,119844
2019-12-10 01:25,Real Estate,Darling,3651
2019-12-10 01:28,Young Franco,About This Thing,197458
2019-12-10 01:33,Moon Boots,I Want Your Attention,247912
2019-12-10 01:33,Masego,Sunday Vibes,8983
2019-12-10 01:36,Big Wild,No Words,215510
2019-12-10 01:36,Lostboycrow,Orange Juice,1423
2019-12-10 01:36,Anderson .Paak,Come Home (feat. André 3000),1888
2019-12-10 01:39,GoldLink,Herside Story,183760
2019-12-10 01:43,Hayden James,Just Friends,238991
2019-12-10 01:47,"Tyler, The Creator",RUNNING OUT OF TIME,15194
2019-12-10 01:47,Young Franco,Otherside,224004
2019-12-10 01:51,Anderson .Paak,King James,197994
2019-12-10 01:55,Maroon 5,What Lovers Do (feat. SZA),227538
2019-12-10 01:58,Tennis,In the Morning I'll Be Better,213173
2019-12-10 02:02,"Tyler, The Creator",I THINK,212013
2019-12-10 02:06,NASAYA,Orange,232363
2019-12-10 02:09,Tennis,Fields of Blue,208453
2019-12-10 02:12,Injury Reserve,Gravy n’ Biscuits,157733
2019-12-10 02:12,Real Estate,Saturday,18152
2019-12-10 02:16,Kid Cudi,Mojo So Dope,210586
2019-12-10 03:29,88-Keys,That's Life (feat. Mac Miller & Sia),5573
2019-12-10 03:32,88-Keys,That's Life (feat. Mac Miller & Sia),184837
2019-12-10 03:36,Tennis,My Emotions Are Blinding,221800
2019-12-10 03:40,Mick Jenkins,Communicate (feat. Ravyn Lenae),237046
2019-12-10 03:43,Tennis,Fields of Blue,208453
2019-12-10 03:48,Berhana,Grey Luh,261103
2019-12-10 03:51,Masego,Sunday Vibes,226168
2019-12-10 03:54,NoMBe,Freak Like Me,176890
2019-12-10 03:58,NASAYA,PATTERNS,228571
2019-12-10 04:02,Young Franco,Drop Your Love (feat. Dirty Radio),207022
2019-12-10 04:04,Fastball,Out Of My Head,153067
2019-12-10 04:08,Slum Village,"Scheming (feat. J Dilla, Posdnuos & Phife)",255080
2019-12-10 04:11,Noname,Song 32,162496
2019-12-10 04:12,Young Franco,Talkin’ Bout It,41066
2019-12-10 04:14,Domo Genesis,Coming Back (feat. Mac Miller),161653
2019-12-10 04:17,Steve Lacy,Dark Red,173104
2019-12-10 04:20,Local Natives,Dark Days,180413
2019-12-10 04:22,Fleetwood Mac,Everywhere - 2017 Remaster,350
2019-12-10 04:22,Fleetwood Mac,Everywhere - 2017 Remaster,1165
2019-12-10 04:22,Hayden James,Just Friends,518
2019-12-10 04:22,Anderson .Paak,Make It Better (feat. Smokey Robinson),460
2019-12-10 04:22,Anderson .Paak,Make It Better (feat. Smokey Robinson),1400
2019-12-10 04:22,Pusha T,F.I.F.A.,97797
2019-12-10 04:26,Giraffage,Maybes - RAC Mix,234971
2019-12-10 04:29,Maroon 5,What Lovers Do (feat. SZA),199849
2019-12-10 04:33,The Internet,La Di Da,207013
2019-12-10 04:38,Tame Impala,Patience,292267
2019-12-10 04:41,Disclosure,Where Angels Fear To Tread,225907
2019-12-10 04:45,Matchbox Twenty,3AM,225947
2019-12-10 04:49,Magic City Hippies,Four of a Kind,215000
2019-12-10 04:52,Tessellated,I Learnt Some Jazz Today,176727
2019-12-10 04:56,Moon Boots,I Want Your Attention,286469
2019-12-10 04:57,Isaiah Rashad,Heavenly Father,1403
2019-12-10 04:57,Disclosure,Defeated No More,1898
2019-12-10 05:00,Lostboycrow,Orange Juice,227347
2019-12-10 05:04,Mac Miller,Ladders,7586
2019-12-10 05:04,Big Wild,6's to 9's (feat. Rationale),206073
2019-12-10 05:07,Golden Vessel,Shoulders,200387
2019-12-10 05:08,Hermitude,Hijinx,11564
2019-12-10 16:04,The Wombats,Out of My Head,182439
2019-12-10 16:07,Still Woozy,Goodie Bag,146390
2019-12-10 16:11,Flight Facilities,Crave You,234786
2019-12-10 16:22,Saba,Photosynthesis,53311
2019-12-10 16:46,Saba,Photosynthesis,148631
2019-12-10 16:50,Young Franco,Drop Your Love (feat. Dirty Radio),207022
2019-12-10 17:08,Tennis,Ladies Don't Play Guitar,224093
2019-12-10 17:12,Mac Miller,Hurt Feelings,245640
2019-12-10 17:15,NoMBe,Freak Like Me,176889
2019-12-10 17:18,Anderson .Paak,Good Heels (feat. Jazmine Sullivan),2635
2019-12-10 17:18,Hermitude,Hijinx,172649
2019-12-10 17:18,Young Franco,Otherside - Two Another Remix,1990
2019-12-10 17:21,Isaiah Rashad,Heavenly Father,173753
